V 0 :0.997550141414603 -0.0256558632785086 -0.0650841230526362 -0.064318001815245 0.0296348157666499 -0.997489400238025 0.0275202035842425 0.999231692855599 0.0279119837114456 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.998381401460359 0.00426332165029703 0.0567167370259577 -0.00400116664516162 -0.999980902192467 0.00473492889225927 0.0567358322441578 0.00450033042579889 0.998379111289978 ,0.123697291390848 -0.0322732837191841 0.297656389403048 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.0853228952055448 -0.364064104331154 0.00989361408597888 ,19.3054904937744
V 109 :0.983411957008772 0.17439142992379 0.0498892851073248 0.0797258392700289 -0.168521384125579 -0.982468507422788 -0.162926670025795 0.970148764460253 -0.179629523097714 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.977476846452401 0.189140452746006 -0.0936227814637762 -0.204570697637319 -0.958187426098824 0.200069968159944 -0.0518668368458748 0.214716210961342 0.975298285484314 ,-0.257262872021097 -0.431909546291539 0.515647486355917 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.425267054206842 -0.578099797314483 -0.257656464438236 ,19.3054904937744
V 110 :0.842183315954967 0.52162412554471 -0.136512842520357 -0.071799369268158 -0.142433650317378 -0.987196811070626 -0.534389733259751 0.841202237423519 -0.0825030407684655 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.826348939996104 0.561250167833036 0.0463232896013781 -0.547588523678745 -0.819987746063243 0.166634495400061 0.131508156657219 0.112332120537758 0.984929978847504 ,0.382371198683685 -0.201842177251074 0.780570655198253 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.160280146705247 -0.910770795451709 -0.036651808287796 ,19.3054904937744
V 119 :0.976276020622091 0.109909902989468 -0.186560726415384 -0.198221817026006 0.106920313117529 -0.974308081550827 -0.087138989443752 0.988174059780793 0.126170193924836 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.97469474341236 0.122780231182524 0.186802202693738 -0.138592236442215 -0.987578259836368 -0.0740357082879563 0.175391688942909 -0.0980515480041504 0.979603826999664 ,0.419146361166611 -0.0578178248136934 0.626916924999731 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.304529039401241 -0.726658951013094 -0.0284354558405043 ,19.3054904937744
V 126 :0.789966590142077 0.601278872032103 -0.120071176581082 -0.100587455606548 -0.0660885731529493 -0.992730875978351 -0.604843384778423 0.796301896511629 0.00827325233166398 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.772267114149485 0.631075018163284 0.073131912615298 -0.62529062325748 -0.775400755145851 0.0881241555666865 0.112319469451904 0.0223266780376434 0.993421316146851 ,1.47547648416379 -0.240857355352337 0.408085092649379 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.859604320335827 -1.25079275397189 -0.0244634297961067 ,19.3054904937744
V 134 :0.983791448491424 0.177685240962597 0.0241446214466747 -0.008815037907086 0.182405464199597 -0.9831839271339 -0.179101382631476 0.96703520095412 0.181015098315906 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.978036919860039 0.208355307155791 -0.00569254160942717 -0.205137254953583 -0.967050492373168 -0.150773747177589 -0.0369194820523262 -0.146294504404068 0.988551914691925 ,-0.47050381333937 0.157495679860228 0.453729525198367 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.604675617825346 -0.450103220459069 0.119517197840053 ,19.3054904937744
V 139 :0.849652663862149 -0.195150779138847 -0.489904799022114 -0.517333531780625 -0.128313718968673 -0.846109719706189 0.102257432910631 0.972343520549899 -0.20998020379454 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.856186564870192 -0.0591943544170397 0.513264794107173 0.165032014027733 -0.972707077146565 0.163111561562492 0.489600986242294 0.224359035491943 0.84258759021759 ,0.106441161968927 -0.376321859212841 0.75903997753908 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.304997875584236 -0.835015545348016 -0.0755800886235208 ,19.3054904937744
V 144 :0.815290769672067 0.106572939030477 0.569160465195407 0.566576941995004 -0.349749264993031 -0.746100638501879 0.119549358950399 0.930762209226717 -0.345529137400778 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.814226442947652 -0.114769787756467 -0.56909018245524 -0.136966707701717 -0.914616170103655 0.380418062751991 -0.564159393310547 0.387692779302597 0.728984594345093 ,0.576843628126637 -0.0167301144732477 0.499063563007459 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.516965439287617 -0.573682328198287 -0.082485663392911 ,19.3054904937744
V 149 :0.921868112679105 -0.140343043427451 -0.361197255972073 -0.383507923651223 -0.196907543553635 -0.902302169550308 0.0555093438012312 0.970325616478313 -0.235345520359905 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.925966456756716 -0.0149590174694316 0.377309841828373 0.109796041853993 -0.966708654695603 0.23112684166279 0.361291199922562 0.255442798137665 0.896781861782074 ,0.141418234634278 -0.346178725059915 0.555221858921363 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.23595623261546 -0.650533428619506 -0.0888277453633562 ,19.3054904937744
V 155 :0.986127961320591 0.161198312241557 -0.0395864435347653 -0.0154430500488543 -0.148356363842095 -0.988813435206203 -0.165267957600988 0.975707927831777 -0.14380904600439 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.980835528482267 0.194833323873927 0.00138398444432653 -0.191398734381748 -0.964825202113773 0.18021978075101 0.0364481136202812 0.176501050591469 0.983625411987305 ,0.350732975621577 -0.236312387182339 0.533546522854201 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.202710821187723 -0.664064580551203 -0.0882072095327225 ,19.3054904937744
V 160 :0.788437542236666 0.614494022349727 0.0276350040404316 0.054312061663568 -0.0247943129021931 -0.998216142625191 -0.612712660775182 0.788532116871733 -0.0529232934243557 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.769341535432041 0.633562760457047 -0.0819273486992092 -0.637957470612222 -0.768668027818897 0.0464774644974604 -0.0335285291075706 0.0880231931805611 0.995553970336914 ,0.715119826002793 -0.106615343385674 0.293589852969523 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.301663070815538 -0.697133305207261 -0.0583752450666127 ,19.3054904937744
V 162 :0.939587259679026 -0.337744272873257 -0.055722954831218 -0.0894634127011876 -0.0851602688295232 -0.992342707511715 0.330412686196996 0.937377703529367 -0.110231335928101 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.949688185127414 -0.299168608497182 0.0926870326083402 0.308926642981312 -0.943484622123537 0.120005697397503 0.0515468418598175 0.14260146021843 0.988436996936798 ,-0.0852767597413509 -0.19854824638423 0.632602392895432 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.12052376950621 -0.714554593579567 -0.080084111404288 ,19.3054904937744
V 163 :0.923996516276559 -0.380749901772751 -0.0355011278660022 -0.0863064266866174 -0.117199609207018 -0.98935105228947 0.372534607981371 0.917221018564523 -0.141153285167061 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.935340193351752 -0.341817430367336 0.0911037146895026 0.352273973810939 -0.923520270317554 0.151703151323395 0.0322813242673874 0.173987507820129 0.984218597412109 ,-0.190425903396077 -0.237354641155117 0.552762834440374 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.0280813290373145 -0.682323703934951 -0.108677033148381 ,19.3054904937744
V 164 :0.877702686049437 -0.479163659109588 -0.00635852026428507 -0.0485899035529604 -0.0757878505724832 -0.995939405333136 0.47673605830225 0.874447767269182 -0.0898018050737283 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.891900000684571 -0.448579832566161 0.0573645196829945 0.452230150661897 -0.885130120942246 0.10969469066122 0.00156823173165321 0.123778648674488 0.992308616638184 ,-0.420817740303058 -0.167850262336536 0.288168803655344 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.235106118680872 -0.545046377738698 -0.0908919946551891 ,19.3054904937744
V 165 :0.805823957275148 -0.592155071241719 -0.000357046629240965 -0.0585652000724358 -0.0790974027418672 -0.99514510900295 0.589251963836441 0.801932738525797 -0.0984183630620394 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.823493362380104 -0.562765351201413 0.0717896335671355 0.567310547890198 -0.815922276284093 0.11148810258534 -0.00416688248515129 0.132536739110947 0.991169333457947 ,-0.580417266540123 -0.15928515879342 -0.10547239816199 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.521226226808194 -0.350650453102588 -0.115191344931831 ,19.3054904937744
