V 0 :0.997805019101527 0.0130518763962059 -0.0649216793587203 -0.0652564338555209 0.0271070328334701 -0.99750028921355 -0.0112594192369749 0.999547401706243 0.0278991636540438 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.997484070298509 0.0430428002758951 0.0563277431863894 -0.0427189201595654 -0.999062993589211 0.00694204884002845 0.0565737672150135 0.00451832264661789 0.998388171195984 ,0.0113005227100032 -0.000705272080968371 0.0535879808898193 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.0403216022653402 -0.122530121866148 0.0408874962571506 ,19.3054904937744
V 78 :0.995403102723118 -0.0957011110200656 -0.00375202028105254 0.0108769366429749 0.151881253910917 -0.988338950316295 0.0951550010675293 0.983754822271697 0.152223915228304 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.997692888989779 -0.0659518561999123 -0.0161029509637901 0.0673904983477912 -0.990799356734735 -0.117367446730478 -0.00821419153362513 -0.118181847035885 0.992958009243011 ,-0.811739667155442 0.105887549936371 0.338627484026533 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.814691204071706 -0.505715569636089 0.0863908207919008 ,19.3054904937744
V 85 :0.996418232663045 0.0841826482083683 0.00799892081403136 -0.00936976268330511 0.203921881561169 -0.978942355703035 -0.0840411228271247 0.97536113309967 0.203980181334318 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.993503231050329 0.113786058320329 -0.00199860988772463 -0.111766524170944 -0.978877062318526 -0.171195559989199 -0.0214360598474741 -0.169859975576401 0.985235035419464 ,-1.55476267916626 0.293317266770701 -0.203854052288669 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,1.58809675120224 0.197687410464305 0.374070237224587 ,19.3054904937744
V 90 :0.991061739489216 0.131753840027366 0.0209337684083909 -0.0193361150880395 0.297126391201349 -0.954642399891544 -0.13199776813038 0.945704754675416 0.297018051293173 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.986790618752868 0.161877454452807 0.00636906403175117 -0.157729474475398 -0.951048407059017 -0.265760735447631 -0.0369633808732033 -0.263254731893539 0.964017987251282 ,-0.407714738830054 0.411232234639737 -0.527042043871362 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.399230360428069 0.357591592926824 0.583680133490654 ,19.3054904937744
V 95 :0.975433481962899 0.159677174476969 -0.151767036919167 -0.187757989103015 0.242255590028756 -0.95187145557508 -0.115225761171774 0.956982717453366 0.266284752012781 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.972934589023334 0.150453172025119 0.175392627133335 -0.186388281471369 -0.959600373640653 -0.210776680195118 0.13659480214119 -0.237763017416 0.961670756340027 ,0.861649036703335 0.309263626334654 -0.0251591658699538 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.72242857876607 -0.257639572805027 0.451672300647275 ,19.3054904937744
V 101 :0.874667720216147 -0.401817140439793 0.271108629472666 0.312676819437712 0.0403301820328837 -0.949003062265359 0.370391877663034 0.914831804893587 0.160914304826275 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.882977642189608 -0.354861780261377 -0.307284975563574 0.374584395104034 -0.927176046512959 -0.00563104909970552 -0.282908946275711 -0.120076239109039 0.951600909233093 ,-1.21145224400967 -0.21589000399981 0.000946677051876885 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,1.12802983094367 -0.562243869687178 0.170269852663936 ,19.3054904937744
V 109 :0.998915836521585 0.0353090234700929 0.0303453991417489 0.0290502265811524 0.0366333258732571 -0.998906493035633 -0.0363820607680996 0.998705090895917 0.0355677721379336 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.997135960342812 0.0649285408609064 -0.038788081332196 -0.0648688529704688 -0.997890077616807 -0.00279679352856775 -0.0388878248631954 -0.000272644683718681 0.999243557453156 ,0.179496830763747 -0.133638915228043 0.07126019571644 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.124495694203569 -0.140790304711383 -0.0950738909968706 ,19.3054904937744
V 113 :0.534979486639295 0.828228133276032 -0.166839391520394 -0.267636932119868 -0.0211705381011528 -0.963287296801805 -0.801353726222749 0.559991352746133 0.210338528059717 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.512780600601213 0.825577342665416 0.235538319103651 -0.844731761482657 -0.534157671968424 0.0332277066256649 0.153246596455574 -0.181928157806396 0.971296906471252 ,1.17625036833423 -0.146747709855508 -0.36088473629894 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.865097377941786 -0.773246293782623 0.154260906802795 ,19.3054904937744
V 122 :0.882044367892932 0.464952566577518 -0.0762705283625514 -0.0268514768556958 -0.112008677609886 -0.993344395618384 -0.470401032445663 0.878221819097977 -0.0863120365352496 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.867766493113027 0.496961831808276 0.00324934200706727 -0.491822157708206 -0.859694056996774 0.137975909419111 0.0713621899485588 0.118132747709751 0.990430235862732 ,0.989385647212122 -0.300971266336042 0.47770873823874 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.580990486733632 -0.945860429105549 -0.132867316725489 ,19.3054904937744
V 123 :0.720969909066098 0.676276821583195 -0.151169440534491 -0.195054407698875 -0.0112789604054699 -0.980727590892772 -0.664948356802668 0.736561356451543 0.123778880400488 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.702215344213569 0.692324093395768 0.166075187766939 -0.698056119709644 -0.71538601046706 0.0306686899161001 0.140040531754494 -0.0943937599658966 0.985636055469513 ,1.28753808231604 -0.081225892299431 0.208775749924922 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.716603670106629 -1.04314831308268 0.12007378518997 ,19.3054904937744
V 130 :0.997235434688229 0.0612866253732698 0.0420193054268997 0.012403891407736 0.420247521085676 -0.907324796410576 -0.0732653837733901 0.905337668257708 0.418325410817854 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.994478788946805 0.102296671196026 -0.0233976415466631 -0.085165509441763 -0.917044885166061 -0.38958388851087 -0.0613098219037056 -0.385440200567245 0.920693755149841 ,-0.931706427916731 0.379837252834161 0.0138937056968127 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.976994338584846 -0.193887196889735 0.394476603636436 ,19.3054904937744
V 135 :0.632816339252117 -0.141637085813665 -0.761237504521959 -0.759173839947766 0.0798939206632511 -0.645966044196815 0.152310925237965 0.986689530222662 -0.0569690516630565 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.642763607610969 -0.107299260247309 0.758512897881643 0.112676891964165 -0.992615272874904 -0.0449330144745015 0.757732748985291 0.056585568934679 0.650107085704803 ,0.0274514331423184 -0.0692920629276354 0.446854519077937 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.0824877301840702 -0.509261547242811 0.000134365766876085 ,19.3054904937744
V 141 :0.810754189141748 0.136976073860107 0.569135758885731 0.57923658256936 -0.328281400443 -0.746134282362927 0.0846341715288401 0.934595749930133 -0.345497088329221 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.808553426323067 -0.0804604001440583 -0.58289597914935 -0.167308936074427 -0.918283798705038 0.358835351617831 -0.564135909080505 0.387661188840866 0.729019522666931 ,0.436910252357016 0.0239061064692655 0.273994178478153 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.386183766844913 -0.349760421388255 -0.0502893184048036 ,19.3054904937744
V 147 :0.790553086572045 0.250974798657894 0.558603470370293 0.589517324628821 -0.0649000349465206 -0.805144314947115 -0.165817501918018 0.965815814075088 -0.199260995413419 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.780798761733665 0.168781226991285 -0.60155335808536 -0.280210818424772 -0.955155203344532 0.0957121820039587 -0.558422327041626 0.243293702602386 0.793078005313873 ,0.255626691741463 -0.100954468884317 0.334087402168628 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.0664570755138878 -0.444297932804232 -0.0793073741718802 ,19.3054904937744
V 148 :0.669764411342723 0.740658511220024 0.0533012792027477 0.0749697587669141 0.00396781907298564 -0.99717796130388 -0.738779818206124 0.671870261826878 -0.0528695792705617 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.646801638002751 0.755274858075261 -0.105867191375297 -0.760359223333521 -0.649379359940938 0.0126728996590486 -0.059176430106163 0.0886939391493797 0.994299530982971 ,0.476762714298663 -0.0849035876942841 0.171227101550967 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.10795999483811 -0.478815197191611 -0.0475882369513981 ,19.3054904937744
V 153 :0.805676753052042 0.590323176489874 0.0490272307625949 0.0677701141956907 -0.00963636299629433 -0.997654465031075 -0.588466110476914 0.807109595835415 -0.0477701527457983 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.787196328966064 0.609388825507372 -0.0946957388887686 -0.614239675265365 -0.788463579802575 0.0321694913598889 -0.0550604090094566 0.0834895819425583 0.994986355304718 ,0.405482954748742 -0.0613419038867508 0.22723658575969 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,-0.113799575299551 -0.450039083180023 -0.0173147530605765 ,19.3054904937744
V 158 :0.952021488444112 -0.301541839479558 -0.0522302607748942 -0.0836094962144889 -0.0921047659067305 -0.992232929541402 0.29438907404932 0.948994044057699 -0.112897545194685 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.960995841787475 -0.263015243218702 0.0855002472427003 0.27234209460716 -0.953777969129652 0.127034162287251 0.0481363236904144 0.145364582538605 0.988206446170807 ,-0.116139119150299 -0.1397023555204 0.370601820815833 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.0186862090284187 -0.474195229392699 -0.0505383610266931 ,19.3054904937744
V 159 :0.935379355400454 -0.351743770721379 -0.0366344463226148 -0.0848137455344616 -0.122554372499354 -0.988831178520716 0.343325488079592 0.928039314125385 -0.144467612421725 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.945833363437589 -0.312352655444457 0.0885171971942593 0.322918089293238 -0.933284198580842 0.157176936871304 0.0335170701146126 0.17724697291851 0.983595490455627 ,-0.226011509781688 -0.167612466730175 0.273241440522463 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.128213545316866 -0.427726760435501 -0.0795117723711255 ,19.3054904937744
V 160 :0.890159008863131 -0.455407735380739 -0.0148667270521489 -0.047321008929829 -0.059946084619683 -0.997079350605628 0.453186486794376 0.888262765855113 -0.0749119951588979 ,-0.99952507019043 0.0296153426170349 -0.0085223289206624 0.00750191789120436 -0.0343974828720093 -0.999380111694336 -0.0298901312053204 -0.998969435691833 0.0341588854789734 ,-0.99952507019043 0.00750191789120436 -0.0298901312053204 0.0296153426170349 -0.0343974828720093 -0.998969435691833 -0.0085223289206624 -0.999380111694336 0.0341588854789734 ,-0.903636988005873 -0.424729283199472 0.0551858257344596 0.428191422436383 -0.898772255349722 0.0941321962193708 0.00961878709495068 0.108691424131393 0.994028985500336 ,-0.428258696254344 -0.103867358869571 -0.0058735850614867 ,0.0472798869013786 -0.0474432334303856 -0.0681999549269676 ,0.0455748364329338 -0.0711617991328239 -0.044681254774332 ,0.392389331382025 -0.275308459244188 -0.0586600457261414 ,19.3054904937744
